Income_Category,Card_Category,Education_Level,Customer_Age,Dependent_count,Attrition,Credit_Limit,CLIENT_ID,Gender,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Marital_Status,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
Unknown,Blue,High School,54,3,Existing Customer,4806,716244933,F,36,3,5,3,Divorced,0,4806,0.827,4674,87,0.74,0,0.00034083,0.99966
Unknown,Blue,Graduate,42,3,Existing Customer,16612,712018233,F,34,3,3,3,Single,2517,14095,0.602,4697,94,0.808,0.152,0.0003139,0.99969
$40K - $60K,Blue,Graduate,53,1,Existing Customer,2799,802878408,F,47,6,2,2,Married,0,2799,0.689,4116,88,0.571,0,0.00010684,0.99989
$40K - $60K,Silver,Unknown,63,0,Existing Customer,18064,719504433,M,54,4,3,3,Single,1695,16369,0.838,3434,71,0.479,0.094,0.00025783,0.99974
Less than $40K,Blue,Graduate,49,4,Existing Customer,2560,794558658,F,34,3,1,3,Married,1430,1130,0.766,4783,86,0.792,0.559,9.72E-05,0.9999
Less than $40K,Blue,Uneducated,42,3,Existing Customer,5821,711634008,F,36,6,2,2,Married,0,5821,0.859,4591,70,1.188,0,0.00012144,0.99988
Less than $40K,Blue,Uneducated,43,5,Existing Customer,2057,708260208,F,36,4,3,2,Single,1279,778,0.562,4321,76,0.689,0.622,0.00019094,0.99981
Less than $40K,Blue,High School,49,5,Existing Customer,1972,713435058,F,42,5,2,3,Divorced,1489,483,0.69,4715,66,0.65,0.755,0.00019213,0.99981
$60K - $80K,Blue,High School,44,3,Existing Customer,2675,719656533,M,36,6,2,3,Married,0,2675,0.7,4149,79,0.717,0,0.00019311,0.99981
$40K - $60K,Blue,Graduate,48,3,Existing Customer,6223,719709558,M,33,3,1,2,Married,2126,4097,0.681,4518,79,0.795,0.342,5.72E-05,0.99994
Unknown,Blue,High School,44,4,Existing Customer,7632,710311233,F,37,3,3,3,Single,0,7632,0.557,4498,86,0.623,0,0.00030842,0.99969
Less than $40K,Blue,Unknown,55,1,Existing Customer,3258,719216508,F,36,5,2,1,Unknown,2517,741,0.985,4960,77,0.75,0.773,7.08E-05,0.99993
$60K - $80K,Silver,High School,46,3,Existing Customer,34516,713105508,M,29,4,3,3,Single,2040,32476,0.764,3754,53,1.038,0.059,0.00027574,0.99972
$40K - $60K,Blue,High School,49,1,Existing Customer,3054,710719683,F,43,3,3,2,Divorced,845,2209,0.731,4460,88,0.692,0.277,0.00016413,0.99984
Less than $40K,Blue,Doctorate,35,2,Existing Customer,1438.3,817892208,F,30,5,1,1,Single,0,1438.3,1.126,4006,72,0.946,0,4.81E-05,0.99995
$120K +,Blue,Uneducated,50,3,Attrited Customer,7970,714102183,M,36,1,2,3,Single,2282,5688,0.28,1872,41,0.206,0.286,0.99513,0.00487126
Less than $40K,Blue,Unknown,55,1,Attrited Customer,1836,715410783,F,36,5,2,3,Single,572,1264,0.758,2400,34,0.789,0.312,0.99496,0.00504
$120K +,Blue,Graduate,47,3,Existing Customer,9397,718202658,M,36,3,2,3,Unknown,795,8602,0.749,5265,98,0.581,0.085,0.00019864,0.9998
Less than $40K,Blue,Uneducated,60,0,Existing Customer,1601,719445633,F,36,4,2,3,Married,0,1601,0.829,4919,69,1.091,0,0.00016891,0.99983
$80K - $120K,Blue,High School,45,4,Existing Customer,34516,709820658,M,36,3,2,3,Married,1170,33346,0.678,3785,64,0.6,0.034,0.00019517,0.9998
Less than $40K,Blue,High School,51,1,Existing Customer,1822,718481283,F,43,5,1,3,Married,1114,708,0.539,5210,73,0.553,0.611,8.45E-05,0.99992
Less than $40K,Blue,High School,41,4,Existing Customer,1614,789300408,M,30,3,2,2,Married,700,914,0.842,4293,87,0.812,0.434,0.00011604,0.99988
Less than $40K,Blue,Unknown,54,4,Existing Customer,1491,711970533,F,41,3,2,0,Married,1349,142,0.756,4365,71,0.732,0.905,4.84E-05,0.99995
Less than $40K,Blue,Graduate,28,1,Existing Customer,2543,815088483,F,23,4,1,3,Divorced,1156,1387,0.641,3864,64,0.684,0.455,8.70E-05,0.99991
Less than $40K,Blue,College,50,2,Existing Customer,3462,717139608,F,36,3,2,3,Divorced,1817,1645,0.717,4635,65,0.711,0.525,0.00018612,0.99981
Less than $40K,Blue,Graduate,44,3,Existing Customer,1699,717626508,F,36,3,3,1,Married,0,1699,0.653,5495,87,0.642,0,0.00011256,0.99989
Unknown,Blue,Graduate,46,3,Attrited Customer,13095,767668908,F,40,3,4,3,Married,1836,11259,0.432,1552,32,0.185,0.14,0.99737,0.0026282
$60K - $80K,Blue,Unknown,47,5,Existing Customer,8823,712484733,M,32,6,2,3,Single,2517,6306,0.812,4674,85,0.848,0.285,0.00021724,0.99978
$60K - $80K,Blue,Uneducated,48,1,Existing Customer,4429,716216958,M,42,6,1,1,Married,883,3546,0.688,4386,63,0.537,0.199,3.21E-05,0.99997
Unknown,Blue,High School,58,4,Attrited Customer,5396,714246333,F,48,1,4,3,Married,1803,3593,0.493,2107,39,0.393,0.334,0.99733,0.00267481
$40K - $60K,Blue,High School,65,0,Existing Customer,2418,718693683,F,53,4,1,3,Single,2205,213,0.84,3918,74,0.51,0.912,7.73E-05,0.99992
Less than $40K,Blue,Graduate,56,1,Existing Customer,2086,716298633,F,47,5,2,3,Single,1792,294,0.859,5774,84,0.909,0.859,0.00017969,0.99982
$40K - $60K,Blue,Graduate,48,3,Attrited Customer,1899,755661933,F,41,5,3,3,Single,671,1228,0.736,2434,45,0.406,0.353,0.99683,0.00317458
$40K - $60K,Blue,Graduate,43,5,Existing Customer,7564,712914783,M,31,4,1,2,Single,0,7564,0.61,4743,82,0.822,0,5.69E-05,0.99994
$60K - $80K,Blue,Graduate,41,2,Existing Customer,13116,711240108,M,31,3,2,2,Married,1225,11891,0.735,4800,61,0.605,0.093,0.00011382,0.99989
Less than $40K,Blue,Doctorate,35,4,Existing Customer,1438.3,721396758,F,36,3,1,3,Married,606,832.3,0.692,5062,80,0.818,0.421,0.00014059,0.99986
Less than $40K,Blue,High School,48,3,Existing Customer,3716,715636533,F,36,4,1,2,Married,0,3716,0.886,4833,73,0.521,0,5.56E-05,0.99994
Less than $40K,Blue,Unknown,50,1,Existing Customer,3069,711508608,F,36,3,5,3,Married,1482,1587,0.663,4351,74,0.721,0.483,0.00034859,0.99965
Less than $40K,Blue,High School,51,1,Attrited Customer,2006,716669658,F,33,6,3,3,Single,1608,398,1.043,2760,38,0.652,0.802,0.99639,0.00360858
$40K - $60K,Blue,High School,45,4,Existing Customer,2948,718212633,F,36,5,2,1,Married,2232,716,0.858,3635,79,0.58,0.757,7.00E-05,0.99993
Less than $40K,Blue,Unknown,47,3,Existing Customer,1438.3,708357183,F,38,4,2,3,Single,0,1438.3,1.001,3511,64,0.882,0,0.00021834,0.99978
Less than $40K,Blue,Uneducated,35,1,Existing Customer,1438.3,713629533,F,36,3,2,3,Married,670,768.3,0.909,4321,83,0.804,0.466,0.00018475,0.99982
$40K - $60K,Blue,Graduate,58,3,Existing Customer,4669,771450708,F,46,5,3,1,Married,1913,2756,0.591,4363,73,0.973,0.41,0.00011256,0.99989
Less than $40K,Silver,Graduate,48,2,Existing Customer,13994,711311883,F,35,5,2,2,Married,0,13994,0.57,3299,63,0.853,0,0.00010284,0.9999
$120K +,Blue,Graduate,57,2,Attrited Customer,8760,802673508,M,51,3,5,3,Single,0,8760,0.726,2460,39,0.56,0,0.99705,0.00294997
Less than $40K,Blue,High School,53,1,Existing Customer,1688,708113208,F,36,3,2,2,Married,0,1688,0.641,4375,69,0.605,0,0.00010386,0.9999
Unknown,Blue,College,46,2,Existing Customer,9881,788786208,F,27,6,3,3,Married,1794,8087,0.582,4725,85,0.735,0.182,0.00029411,0.99971
$60K - $80K,Blue,Graduate,39,4,Existing Customer,4534,720043533,M,26,6,2,0,Single,917,3617,0.84,4211,66,0.61,0.202,4.40E-05,0.99996
Less than $40K,Blue,Uneducated,57,4,Existing Customer,3545,801083133,F,51,5,3,3,Single,1446,2099,0.638,3691,69,0.917,0.408,0.0003262,0.99967
Less than $40K,Blue,College,57,2,Existing Customer,1857,716246733,F,49,4,2,2,Single,1528,329,0.698,4681,71,0.868,0.823,0.00011066,0.99989
Unknown,Blue,Uneducated,56,4,Existing Customer,3334,807157833,F,51,5,1,1,Single,1272,2062,1.12,4284,73,0.587,0.382,3.58E-05,0.99996
$40K - $60K,Blue,Unknown,55,3,Attrited Customer,2496,721032633,F,32,5,3,4,Single,1999,497,0.724,2590,50,0.667,0.801,0.9983,0.00169532
Less than $40K,Blue,College,41,3,Existing Customer,1438.3,828285858,F,37,3,1,2,Married,765,673.3,0.644,4053,66,0.692,0.532,5.56E-05,0.99994
Less than $40K,Blue,Doctorate,45,4,Attrited Customer,1438.3,718890933,F,27,3,2,2,Married,0,1438.3,0.68,2429,38,0.652,0,0.99425,0.00575
$60K - $80K,Blue,Graduate,52,3,Existing Customer,9357,711148308,M,46,4,2,2,Single,1285,8072,0.694,4173,77,0.711,0.137,0.00011811,0.99988
Less than $40K,Blue,Graduate,40,2,Existing Customer,2423,712810233,F,36,3,2,3,Married,1674,749,0.644,4258,80,0.538,0.691,0.00019143,0.99981
$40K - $60K,Blue,Graduate,45,1,Existing Customer,1936,714098883,F,36,5,2,2,Single,1613,323,0.841,4773,80,0.818,0.833,0.00010684,0.99989
$60K - $80K,Blue,Graduate,43,1,Existing Customer,1783,779327733,M,25,4,3,3,Divorced,1014,769,0.956,3861,81,0.558,0.569,0.00028395,0.99972
Less than $40K,Blue,Unknown,59,0,Existing Customer,1438.3,716364408,F,36,4,1,2,Married,0,1438.3,0.622,4155,62,0.632,0,5.20E-05,0.99995
Less than $40K,Blue,Graduate,56,2,Existing Customer,1438.3,710461083,F,46,4,1,3,Single,0,1438.3,0.622,4333,84,0.826,0,9.26E-05,0.99991
Less than $40K,Silver,Post-Graduate,44,2,Existing Customer,10580,709306983,F,36,6,3,2,Married,1023,9557,0.907,4721,81,0.8,0.097,0.00019124,0.99981
Less than $40K,Blue,Unknown,54,2,Existing Customer,4597,769035933,F,48,5,3,2,Single,1316,3281,0.646,3507,68,0.511,0.286,0.00019771,0.9998
Less than $40K,Blue,High School,49,4,Existing Customer,1656,813182658,F,44,4,2,3,Married,929,727,0.898,4408,79,0.681,0.561,0.00019517,0.9998
Less than $40K,Blue,High School,39,0,Existing Customer,3279,781110408,F,23,5,3,2,Single,0,3279,0.765,5048,75,0.923,0,0.00015005,0.99985
$40K - $60K,Blue,College,49,3,Existing Customer,2578,818007783,F,44,6,2,3,Married,1590,988,0.657,4683,89,0.618,0.617,0.00019313,0.99981
$40K - $60K,Blue,Graduate,44,4,Existing Customer,4068,708862233,F,30,3,3,3,Married,0,4068,1.121,5161,83,0.766,0,0.00031726,0.99968
Less than $40K,Blue,Graduate,42,4,Attrited Customer,2128,714006333,F,36,5,2,3,Married,528,1600,0.525,2289,41,0.414,0.248,0.99504,0.00495524
Less than $40K,Blue,Doctorate,45,2,Attrited Customer,2704,770596458,F,31,4,3,4,Married,2262,442,0.87,2362,39,0.444,0.837,0.99866,0.00133669
Less than $40K,Blue,Post-Graduate,38,3,Existing Customer,1878,789392883,F,29,4,1,0,Unknown,1247,631,0.67,4650,71,0.614,0.664,2.48E-05,0.99998
Unknown,Blue,College,46,3,Existing Customer,10600,803805483,F,40,3,3,3,Married,0,10600,0.777,4697,67,0.523,0,0.00030519,0.99969
Less than $40K,Blue,Uneducated,58,0,Attrited Customer,9909,709534083,F,36,3,2,6,Divorced,0,9909,0.466,1844,41,0.64,0,0.99886,0.0011409
Less than $40K,Blue,Graduate,57,1,Existing Customer,1665,710579583,F,50,3,2,3,Married,983,682,0.889,4420,86,0.72,0.59,0.00017969,0.99982
$120K +,Blue,Graduate,50,1,Attrited Customer,1656,708949908,M,42,1,3,2,Divorced,0,1656,0.626,2073,44,0.833,0,0.99411,0.00589
$80K - $120K,Blue,High School,53,1,Existing Customer,14111,711907083,M,36,3,3,4,Unknown,1034,13077,0.505,2950,64,0.684,0.073,0.00047086,0.99953
Less than $40K,Blue,Graduate,52,1,Existing Customer,2012,718696458,F,42,4,2,3,Married,1230,782,0.668,3822,68,0.659,0.611,0.00017969,0.99982
Less than $40K,Blue,Post-Graduate,43,2,Existing Customer,2837,710611683,F,31,6,1,1,Married,1807,1030,0.609,4279,83,0.627,0.637,3.91E-05,0.99996
Less than $40K,Blue,Graduate,40,3,Existing Customer,1709,721511883,F,28,6,2,2,Single,0,1709,0.685,4981,79,0.975,0,0.00011811,0.99988
Less than $40K,Blue,Unknown,49,1,Existing Customer,5714,779116158,F,31,5,2,1,Married,868,4846,0.636,4331,85,0.7,0.152,7.08E-05,0.99993
$60K - $80K,Blue,Unknown,41,3,Existing Customer,5071,720193533,M,32,4,1,3,Married,1043,4028,0.667,3358,62,0.722,0.206,0.00010566,0.99989
$80K - $120K,Blue,Uneducated,51,3,Existing Customer,24028,753094533,M,44,3,3,3,Married,0,24028,0.496,3531,73,0.738,0,0.00032275,0.99968
Unknown,Blue,Post-Graduate,31,2,Existing Customer,13882,719545983,F,13,5,3,3,Unknown,0,13882,0.87,4798,82,0.822,0,0.00035594,0.99964
$40K - $60K,Blue,Graduate,49,3,Existing Customer,3585,716494383,F,41,3,2,2,Unknown,931,2654,0.62,4399,78,0.733,0.26,0.00011811,0.99988
$80K - $120K,Blue,Uneducated,40,3,Existing Customer,9124,769892058,M,34,4,2,2,Single,2126,6998,0.449,4564,65,0.548,0.233,0.00012144,0.99988
Unknown,Blue,Graduate,45,4,Existing Customer,2705,709098108,F,35,4,2,2,Married,0,2705,0.736,4749,80,0.778,0,0.00011937,0.99988
Less than $40K,Blue,Graduate,56,1,Existing Customer,1936,715705683,F,36,4,3,2,Single,1101,835,0.984,4578,70,0.892,0.569,0.00016883,0.99983
$80K - $120K,Blue,High School,49,3,Existing Customer,8051,715724808,M,41,5,2,3,Married,2138,5913,0.716,4370,83,0.886,0.266,0.00019311,0.99981
$40K - $60K,Blue,Graduate,36,1,Existing Customer,3635,717123858,F,36,5,1,3,Married,1617,2018,0.828,4045,62,1.067,0.445,8.70E-05,0.99991
Less than $40K,Blue,High School,46,1,Existing Customer,2532,716236683,F,37,4,2,2,Married,1487,1045,0.581,4143,71,1.029,0.587,0.00010386,0.9999
Less than $40K,Blue,Unknown,54,4,Existing Customer,2028,771224358,F,41,3,1,3,Married,0,2028,0.823,4030,78,0.733,0,0.00010679,0.99989
Less than $40K,Blue,Doctorate,42,4,Attrited Customer,4304,779310033,F,24,3,2,3,Married,0,4304,0.183,1788,36,0.091,0,0.99657,0.00342939
Unknown,Blue,Graduate,46,3,Existing Customer,6644,710595783,F,39,4,1,2,Unknown,2082,4562,0.915,4659,76,0.854,0.313,5.72E-05,0.99994
Less than $40K,Blue,Uneducated,45,5,Existing Customer,1830,711409833,F,33,3,1,3,Married,650,1180,0.724,4838,71,0.972,0.355,9.83E-05,0.9999
$120K +,Blue,Uneducated,37,2,Existing Customer,7607,721174008,M,23,4,3,3,Married,2170,5437,0.377,4495,77,0.674,0.285,0.00031104,0.99969
Less than $40K,Blue,Graduate,55,3,Attrited Customer,2060,714192933,F,36,3,3,5,Single,0,2060,0.251,1976,44,0.257,0,0.99892,0.0010775
Less than $40K,Blue,High School,49,2,Existing Customer,1438.3,709632483,F,40,3,2,2,Single,906,532.3,0.541,4457,84,0.714,0.63,0.00011065,0.99989
$60K - $80K,Blue,High School,41,4,Existing Customer,3126,718431258,M,28,4,3,3,Single,1503,1623,0.892,3662,74,0.644,0.481,0.00030842,0.99969
$40K - $60K,Blue,Post-Graduate,47,4,Existing Customer,6885,817029108,F,27,4,6,3,Single,1611,5274,0.955,3804,67,0.861,0.234,0.00029469,0.99971
$60K - $80K,Blue,High School,42,4,Attrited Customer,1871,796931508,M,36,4,3,4,Unknown,0,1871,0.73,2593,48,0.548,0,0.9981,0.00189625
Less than $40K,Blue,Graduate,31,0,Existing Customer,2787,769577358,F,17,4,2,3,Single,1761,1026,0.67,4358,89,0.648,0.632,0.00016428,0.99984
$80K - $120K,Blue,Post-Graduate,50,2,Existing Customer,1867,815589558,M,45,6,3,2,Married,1478,389,0.727,4097,70,0.707,0.792,0.00021165,0.99979
Less than $40K,Blue,Unknown,41,3,Attrited Customer,1438.3,714287583,F,32,3,2,3,Married,0,1438.3,0.372,1852,38,0.31,0,0.99544,0.00455805
Less than $40K,Blue,Graduate,47,4,Attrited Customer,2473,718975083,F,40,6,4,3,Single,0,2473,0.547,2133,44,0.419,0,0.9974,0.00260048
$40K - $60K,Blue,Post-Graduate,40,4,Existing Customer,4640,715315008,M,30,6,3,2,Single,1555,3085,0.78,3870,70,0.707,0.335,0.00022196,0.99978
Less than $40K,Blue,High School,47,4,Existing Customer,2712,779252283,F,29,6,3,0,Married,2411,301,0.844,5201,82,0.907,0.889,6.77E-05,0.99993
Unknown,Blue,Graduate,46,3,Attrited Customer,8869,714031083,F,30,3,2,1,Unknown,0,8869,0.413,1935,40,0.429,0,0.98616,0.01384
Unknown,Blue,Graduate,51,4,Attrited Customer,3853,772442883,F,41,2,3,5,Married,696,3157,0.882,2443,38,0.583,0.181,0.99893,0.00106612
Less than $40K,Blue,College,53,3,Existing Customer,1438.3,714533058,F,43,4,2,3,Married,721,717.3,0.601,4606,86,0.955,0.501,0.00019313,0.99981
$60K - $80K,Blue,Post-Graduate,50,3,Attrited Customer,14409,716570958,M,36,3,2,3,Divorced,511,13898,0.799,2351,39,0.3,0.035,0.99574,0.00425916
$40K - $60K,Blue,High School,59,1,Attrited Customer,1665,710116833,F,36,5,3,3,Single,0,1665,1.01,2748,40,0.333,0,0.99639,0.00360858
Less than $40K,Blue,Graduate,43,3,Existing Customer,2639,718586133,F,31,6,1,3,Married,0,2639,0.892,4892,85,0.771,0,9.61E-05,0.9999
Less than $40K,Blue,High School,59,2,Existing Customer,2338,773322558,F,48,6,1,1,Married,1566,772,0.533,3964,69,0.5,0.67,3.23E-05,0.99997
Less than $40K,Blue,Graduate,51,1,Existing Customer,2774,714554808,F,40,3,3,0,Married,1362,1412,0.866,4802,91,0.685,0.491,6.23E-05,0.99994
Unknown,Blue,College,57,1,Existing Customer,4283,717903108,F,46,6,1,1,Single,488,3795,0.865,4689,65,0.477,0.114,3.03E-05,0.99997
Unknown,Blue,Uneducated,47,4,Attrited Customer,6263,815908908,F,42,3,4,3,Single,2517,3746,0.857,2613,50,0.724,0.402,0.99747,0.00252933
Less than $40K,Blue,Graduate,35,2,Existing Customer,2317,771464808,F,23,6,3,3,Single,1301,1016,0.925,4161,71,1.219,0.562,0.00030251,0.9997
Less than $40K,Blue,College,55,2,Existing Customer,2239,708234558,F,43,5,2,1,Divorced,1340,899,0.658,4540,73,0.587,0.598,6.67E-05,0.99993
Less than $40K,Blue,College,41,1,Existing Customer,2225,715737258,F,32,6,3,3,Married,0,2225,1.06,4917,84,0.75,0,0.00027607,0.99972
Less than $40K,Blue,Graduate,51,3,Existing Customer,1519,710188308,F,41,6,2,3,Single,1148,371,0.767,4927,73,0.738,0.756,0.00019864,0.9998
Unknown,Blue,Uneducated,48,5,Existing Customer,5495,708670608,F,36,4,2,3,Married,2200,3295,0.696,5125,85,0.771,0.4,0.00020321,0.9998
Less than $40K,Blue,Graduate,51,3,Existing Customer,2141,714839808,F,35,6,1,1,Married,1176,965,0.746,4317,64,0.778,0.549,3.45E-05,0.99997
Less than $40K,Blue,High School,43,2,Existing Customer,2616,811140933,F,29,4,1,2,Married,1786,830,0.876,5219,63,0.75,0.683,5.35E-05,0.99995
Less than $40K,Blue,Graduate,39,3,Existing Customer,5494,788937933,F,25,3,1,1,Divorced,1356,4138,0.463,3566,81,0.884,0.247,3.45E-05,0.99997
Less than $40K,Blue,High School,52,3,Attrited Customer,2003,721527858,F,40,3,5,1,Married,1735,268,0.855,2343,42,0.355,0.866,0.99189,0.00811
Less than $40K,Blue,Uneducated,47,4,Existing Customer,2092,718265658,F,36,3,1,2,Single,1499,593,0.811,4130,80,1.162,0.717,5.94E-05,0.99994
$60K - $80K,Blue,High School,44,0,Existing Customer,6606,714312708,M,36,6,3,2,Single,2517,4089,0.825,4493,68,0.659,0.381,0.00015005,0.99985
Unknown,Blue,College,42,4,Existing Customer,7102,715821183,F,23,3,3,2,Married,0,7102,0.599,4083,68,0.744,0,0.0001834,0.99982
Less than $40K,Silver,Unknown,51,2,Existing Customer,13812,709487058,F,36,6,2,3,Married,1132,12680,0.699,3723,56,0.867,0.082,0.00019013,0.99981
$60K - $80K,Blue,Graduate,56,1,Existing Customer,7075,712675158,M,36,5,3,2,Single,1676,5399,1.268,4160,75,0.667,0.237,0.00016883,0.99983
$40K - $60K,Blue,College,44,1,Existing Customer,4274,826473858,M,40,6,1,2,Single,1680,2594,0.78,4820,60,0.765,0.393,5.03E-05,0.99995
Less than $40K,Blue,High School,47,3,Existing Customer,2317,817382958,F,31,5,1,3,Single,0,2317,0.57,4894,89,0.854,0,9.34E-05,0.99991
Less than $40K,Blue,Uneducated,51,2,Attrited Customer,1438.3,712927383,F,36,3,3,3,Single,642,796.3,0.405,1939,49,0.4,0.446,0.9968,0.00320374
$80K - $120K,Blue,High School,47,4,Existing Customer,2888,712894308,M,37,5,3,3,Married,0,2888,0.717,4345,75,0.786,0,0.00030842,0.99969
Unknown,Blue,College,44,4,Existing Customer,12310,712349808,F,34,4,1,2,Single,670,11640,0.801,4176,76,0.767,0.054,5.62E-05,0.99994
$60K - $80K,Blue,Unknown,48,4,Existing Customer,1622,778780008,M,36,4,3,3,Married,1249,373,0.585,4164,66,0.61,0.77,0.00034872,0.99965
Less than $40K,Blue,Graduate,45,4,Attrited Customer,1438.3,711430908,F,34,3,2,1,Married,0,1438.3,0.685,2153,35,0.346,0,0.9863,0.0137
$80K - $120K,Blue,Unknown,40,3,Existing Customer,12559,779670783,M,23,6,2,2,Single,0,12559,0.715,4700,71,0.511,0,0.00012982,0.99987
$40K - $60K,Blue,Uneducated,56,1,Existing Customer,2929,718757808,F,46,4,3,3,Unknown,1287,1642,0.497,3875,67,0.595,0.439,0.00029196,0.99971
Less than $40K,Blue,Unknown,48,3,Attrited Customer,1438.3,779530908,F,31,5,2,4,Divorced,0,1438.3,0.5,1897,58,0.706,0,0.99732,0.00267667
Less than $40K,Blue,Unknown,50,1,Existing Customer,2319,716389833,F,40,4,1,2,Single,1026,1293,0.521,4099,74,0.721,0.442,5.68E-05,0.99994
Unknown,Blue,Uneducated,37,2,Existing Customer,7927,718469658,F,22,4,3,3,Married,996,6931,0.521,4094,85,0.771,0.126,0.00031104,0.99969
Less than $40K,Blue,Graduate,55,2,Attrited Customer,1720,809849358,F,50,2,6,3,Divorced,0,1720,0.707,2719,36,0.44,0,0.99583,0.00416897
$80K - $120K,Blue,Unknown,38,3,Existing Customer,3642,719772258,M,30,5,1,3,Single,724,2918,0.68,4517,79,0.837,0.199,0.00010566,0.99989
$40K - $60K,Blue,High School,49,3,Existing Customer,3881,809363958,F,44,5,1,2,Married,0,3881,0.601,4177,66,0.737,0,5.56E-05,0.99994
$120K +,Blue,Doctorate,47,3,Existing Customer,6143,709165533,M,41,6,2,2,Unknown,1151,4992,0.866,4330,72,0.895,0.187,0.00017091,0.99983
Less than $40K,Blue,Unknown,42,1,Existing Customer,1438.3,809846283,F,37,3,3,0,Married,0,1438.3,0.72,4154,78,0.814,0,6.85E-05,0.99993
Less than $40K,Blue,College,52,4,Existing Customer,2035,708427908,F,39,6,3,1,Unknown,1343,692,0.835,4643,86,0.686,0.66,0.00011061,0.99989
Less than $40K,Blue,High School,47,2,Attrited Customer,3899,721228308,F,39,5,3,3,Married,0,3899,0.718,2182,40,0.429,0,0.99661,0.00338788
$40K - $60K,Blue,Unknown,52,1,Existing Customer,1981,713374533,F,43,4,2,2,Single,1082,899,0.584,3913,90,0.731,0.546,0.00011743,0.99988
Less than $40K,Blue,Graduate,50,1,Attrited Customer,2422,708708858,F,36,1,3,4,Single,502,1920,0.997,2548,46,0.484,0.207,0.99794,0.00205937
$80K - $120K,Blue,Graduate,52,2,Existing Customer,11964,721111233,M,43,6,3,3,Married,800,11164,0.954,4853,85,0.848,0.067,0.00030251,0.9997
Unknown,Blue,College,50,4,Existing Customer,3862,708538608,F,36,6,4,3,Married,0,3862,0.578,4058,81,0.723,0,0.00037275,0.99963
$80K - $120K,Blue,College,46,2,Existing Customer,33142,718866633,M,36,5,4,2,Married,0,33142,0.846,4347,63,0.575,0,0.00021134,0.99979
$120K +,Silver,High School,40,2,Existing Customer,34516,719100633,M,36,3,4,2,Single,1436,33080,0.688,3564,73,0.825,0.042,0.00019094,0.99981
Less than $40K,Blue,High School,42,4,Attrited Customer,3454,789328083,F,32,6,3,3,Married,0,3454,0.862,2826,39,0.625,0,0.99677,0.00323086
Less than $40K,Blue,Graduate,29,2,Existing Customer,2732,822905058,F,25,6,3,2,Married,1746,986,1.028,4702,85,0.771,0.639,0.00017987,0.99982
$80K - $120K,Blue,High School,50,4,Existing Customer,1687,816549933,M,45,4,2,2,Divorced,992,695,0.721,4342,82,0.783,0.588,0.00011604,0.99988
Less than $40K,Blue,Graduate,43,3,Attrited Customer,3523,716421633,F,36,4,2,4,Married,0,3523,0.973,3174,44,0.222,0,0.99706,0.00294141
$120K +,Blue,Uneducated,40,4,Existing Customer,5773,712667958,M,36,4,3,2,Single,2024,3749,0.977,3732,71,0.972,0.351,0.00019396,0.99981
Unknown,Blue,Graduate,45,3,Attrited Customer,4462,809559933,F,40,3,5,3,Married,706,3756,0.886,2526,41,0.414,0.158,0.99716,0.00284317
Less than $40K,Blue,Doctorate,35,3,Existing Customer,3976,819979458,F,30,5,2,2,Married,1789,2187,0.931,4419,75,0.829,0.45,0.00017091,0.99983
Less than $40K,Blue,College,55,3,Existing Customer,2679,708100533,F,36,3,3,3,Single,2277,402,0.736,4943,85,0.735,0.85,0.00030519,0.99969
$40K - $60K,Blue,Unknown,49,4,Existing Customer,1564,778669608,F,29,6,3,2,Married,0,1564,1.114,5172,78,0.733,0,0.00020735,0.99979
$40K - $60K,Blue,High School,53,2,Existing Customer,1536,802867683,F,47,5,2,3,Single,728,808,0.604,4133,78,0.529,0.474,0.0001861,0.99981
$40K - $60K,Blue,High School,46,5,Existing Customer,2375,711893358,M,37,6,2,1,Married,1196,1179,0.641,4087,66,0.833,0.504,6.89E-05,0.99993
Less than $40K,Blue,High School,50,3,Existing Customer,2719,785410158,F,42,4,3,3,Married,0,2719,0.794,4172,65,0.97,0,0.00030516,0.99969
$40K - $60K,Blue,Graduate,53,4,Existing Customer,3369,718596858,F,45,5,3,1,Divorced,2424,945,0.825,5220,78,0.592,0.72,0.00011377,0.99989
Less than $40K,Blue,Graduate,58,1,Existing Customer,3173,708338958,F,36,5,1,1,Single,1713,1460,0.609,3797,75,0.786,0.54,3.12E-05,0.99997
Less than $40K,Blue,High School,47,2,Existing Customer,3139,714688833,F,36,4,2,2,Unknown,0,3139,0.728,4892,95,0.827,0,0.00011065,0.99989
Less than $40K,Blue,High School,50,3,Attrited Customer,2140,789662283,F,33,3,3,4,Married,0,2140,0.765,2915,50,0.316,0,0.99808,0.00191647
Less than $40K,Blue,Uneducated,56,3,Existing Customer,2258,712805658,F,46,4,3,2,Single,0,2258,0.617,4803,72,0.714,0,0.00019191,0.99981
